label,text
"A01A, Stomatological preparations",Stomatological preparations
"A01AA, Caries prophylactic agents",Caries prophylactic agents
"A01AA01, Sodiumfluoride",Sodiumfluoride
"A01AA02, Sodiummonofluorophosphate",Sodiummonofluorophosphate
"A01AA03, Olaflur",Olaflur
"A01AA04, Stannousfluoride(Tin2fluoride)",Stannousfluoride(Tin2fluoride)
"A01AA30, Cariesprophylacticagents,combinations","Cariesprophylacticagents,combinations"
"A01AA51, Sodiumfluoride,combinations","Sodiumfluoride,combinations"
"A01AB, Anti-infectives and antiseptics for local oral treatment",Anti-infectives and antiseptics for local oral treatment
"A01AB02, Hydrogenperoxide",Hydrogenperoxide
"A01AB03, Chlorhexidine",Chlorhexidine
"A01AB04, AmphotericinB",AmphotericinB
"A01AB05, Polynoxylin",Polynoxylin
"A01AB06, Domiphen",Domiphen
"A01AB07, Oxyquinoline(8-Hydroxyquinoline)",Oxyquinoline(8-Hydroxyquinoline)
"A01AB08, Neomycin",Neomycin
"A01AB09, Miconazole",Miconazole
"A01AB10, Natamycin",Natamycin
"A01AB11, Anti-infectivesandantisepticsforlocaloraltreatment,various","Anti-infectivesandantisepticsforlocaloraltreatment,various"
"A01AB12, Hexetidine",Hexetidine
"A01AB13, Tetracycline",Tetracycline
"A01AB14, Benzoxoniumchloride",Benzoxoniumchloride
"A01AB15, Tibezoniumiodide",Tibezoniumiodide
"A01AB16, Mepartricin",Mepartricin
"A01AB17, Metronidazole",Metronidazole
"A01AB18, Clotrimazole",Clotrimazole
"A01AB19, Sodiumperborate",Sodiumperborate
"A01AB21, Chlortetracycline",Chlortetracycline
"A01AB22, Doxycycline",Doxycycline
"A01AB23, Minocycline",Minocycline
"A01AC, Corticosteroids for local oral treatment",Corticosteroids for local oral treatment
"A01AC01, Triamcinolone",Triamcinolone
"A01AC02, Dexamethasone",Dexamethasone
"A01AC03, Hydrocortisone(Cortisol)",Hydrocortisone(Cortisol)
"A01AC54, Prednisolone,combinations","Prednisolone,combinations"
"A01AD, Other agents for local oral treatment",Other agents for local oral treatment
"A01AD01, Epinephrine",Epinephrine
"A01AD02, Benzydamine",Benzydamine
"A01AD05, Acetylsalicylicacid",Acetylsalicylicacid
"A01AD06, Adrenalone",Adrenalone
"A01AD07, Amlexanox",Amlexanox
"A01AD08, Becaplermin",Becaplermin
"A01AD11, Otheragentsforlocaloraltreatment,Various","Otheragentsforlocaloraltreatment,Various"
"A02, Drugs for acid related disorders",Drugs for acid related disorders
"A02A, Antacid drugs",Antacid drugs
"A02AA, Magnesiumcompounds",Magnesiumcompounds
"A02AA01, Magnesiumcarbonate",Magnesiumcarbonate
"A02AA02, Magnesiumoxide",Magnesiumoxide
"A02AA03, Magnesiumperoxide",Magnesiumperoxide
"A02AA04, Magnesiumhydroxide",Magnesiumhydroxide
"A02AA05, Magnesiumsilicate",Magnesiumsilicate
"A02AA10, Magnesiumcompounds,combinations","Magnesiumcompounds,combinations"
"A02AB, Aluminiumcompounds",Aluminiumcompounds
"A02AB01, Aluminiumhydroxide",Aluminiumhydroxide
"A02AB02, Algeldrate",Algeldrate
"A02AB03, Aluminiumphosphate",Aluminiumphosphate
"A02AB04, Dihydroxialuminisodiumcarbonate",Dihydroxialuminisodiumcarbonate
"A02AB05, Aluminiumacetoacetate",Aluminiumacetoacetate
"A02AB06, Aloglutamol",Aloglutamol
"A02AB07, Aluminiumglycinate",Aluminiumglycinate
"A02AB10, Aluminiumcompounds,combinations","Aluminiumcompounds,combinations"
"A02AC, Calciumcompoundslist",Calciumcompoundslist
"A02AC01, Calciumcarbonate",Calciumcarbonate
"A02AC02, Calciumsilicate",Calciumsilicate
"A02AC10, Calciumcompounds,combinations","Calciumcompounds,combinations"
"A02AD, Combinationsandcomplexesofaluminium,calciumandmagnesiumcompounds","Combinationsandcomplexesofaluminium,calciumandmagnesiumcompounds"
"A02AD01, Ordinarysaltcombinations",Ordinarysaltcombinations
"A02AD02, Magaldrate",Magaldrate
"A02AD03, Almagate",Almagate
"A02AD04, Hydrotalcite",Hydrotalcite
"A02AD05, Almasilate",Almasilate
"A02AF, Antacidswithantiflatulents",Antacidswithantiflatulents
"A02AF01, Magaldrateandantiflatulents",Magaldrateandantiflatulents
"A02AF02, Ordinarysaltcombinationsandantiflatulents",Ordinarysaltcombinationsandantiflatulents
"A02B, Drugs for peptic ulcer and gastro-oesophageal reflux disease",Drugs for peptic ulcer and gastro-oesophageal reflux disease
"A02BA, H2-receptorantagonists",H2-receptorantagonists
"A02BA01, Cimetidine",Cimetidine
"A02BA02, Ranitidine",Ranitidine
"A02BA03, Famotidine",Famotidine
"A02BA04, Nizatidine",Nizatidine
"A02BA05, Niperotidine",Niperotidine
"A02BA06, Roxatidine",Roxatidine
"A02BA07, Ranitidinebismuthcitrate",Ranitidinebismuthcitrate
"A02BA08, Lafutidine",Lafutidine
"A02BA51, Cimetidine,combinations","Cimetidine,combinations"
"A02BA53, Famotidine,combinations","Famotidine,combinations"
"A02BB, Prostaglandins",Prostaglandins
"A02BB01, Misoprostol",Misoprostol
"A02BB02, Enprostil",Enprostil
"A02BC, Protonpumpinhibitors",Protonpumpinhibitors
"A02BC01, Omeprazole",Omeprazole
"A02BC02, Pantoprazole",Pantoprazole
"A02BC03, Lansoprazole",Lansoprazole
"A02BC04, Rabeprazole",Rabeprazole
"A02BC05, Esomeprazole",Esomeprazole
"A02BC06, Dexlansoprazole",Dexlansoprazole
"A02BC07, Dexrabeprazole",Dexrabeprazole
"A02BC53, Lansoprazole,combinations","Lansoprazole,combinations"
"A02BC54, Rabeprazole,combinations","Rabeprazole,combinations"
"A02BD, CombinationsforeradicationofHelicobacterpylori",CombinationsforeradicationofHelicobacterpylori
"A02BD01, Omeprazole,amoxicillinandmetronidazole","Omeprazole,amoxicillinandmetronidazole"
"A02BD02, Lansoprazole,tetracyclineandmetronidazole","Lansoprazole,tetracyclineandmetronidazole"
"A02BD03, Lansoprazole,amoxicillinandmetronidazole","Lansoprazole,amoxicillinandmetronidazole"
"A02BD04, Pantoprazole,amoxicillinandclarithromycin","Pantoprazole,amoxicillinandclarithromycin"
"A02BD05, Omeprazole,amoxicillinandclarithromycin","Omeprazole,amoxicillinandclarithromycin"
"A02BD06, Esomeprazole,amoxicillinandclarithromycin","Esomeprazole,amoxicillinandclarithromycin"
"A02BD07, Lansoprazole,amoxicillinandclarithromycin","Lansoprazole,amoxicillinandclarithromycin"
"A02BD08, Bismuthsubcitrate,tetracyclineandmetronidazole","Bismuthsubcitrate,tetracyclineandmetronidazole"
"A02BD09, Lansoprazole,clarithromycinandtinidazole","Lansoprazole,clarithromycinandtinidazole"
"A02BD10, Lansoprazole,amoxicillinandlevofloxacin","Lansoprazole,amoxicillinandlevofloxacin"
"A02BD11, Pantoprazole,amoxicillin,clarithromycinandmetronidazole","Pantoprazole,amoxicillin,clarithromycinandmetronidazole"
"A02BX, Otherdrugsforpepticulcerandgastro-oesophagealrefluxdisease(GORD/GERD)",Otherdrugsforpepticulcerandgastro-oesophagealrefluxdisease(GORD/GERD)
"A02BX01, Carbenoxolone",Carbenoxolone
"A02BX02, Sucralfate",Sucralfate
"A02BX03, Pirenzepine",Pirenzepine
"A02BX04, Methiosulfoniumchloride",Methiosulfoniumchloride
"A02BX05, Bismuthsubcitrate",Bismuthsubcitrate
"A02BX06, Proglumide",Proglumide
"A02BX07, Gefarnate",Gefarnate
"A02BX08, Sulglicotide",Sulglicotide
"A02BX09, Acetoxolone",Acetoxolone
"A02BX10, Zolimidine",Zolimidine
"A02BX11, Troxipide",Troxipide
"A02BX12, Bismuthsubnitrate",Bismuthsubnitrate
"A02BX13, Alginicacid",Alginicacid
"A02BX14, Rebamipide",Rebamipide
"A02BX51, Carbenoxolone,combinationsexcludingpsycholeptics","Carbenoxolone,combinationsexcludingpsycholeptics"
"A02BX71, Carbenoxolone,combinationswithpsycholeptics","Carbenoxolone,combinationswithpsycholeptics"
"A02BX77, Gefarnate,combinationswithpsycholeptics","Gefarnate,combinationswithpsycholeptics"
"A02X, Otherdrugsforacidrelateddisorders",Otherdrugsforacidrelateddisorders
"A03, Drugs for functional gastrointestinal disorders",Drugs for functional gastrointestinal disorders
"A03A, Drugs for functional bowel disorders",Drugs for functional bowel disorders
"A03AA, Syntheticanticholinergics,esterswithtertiaryaminogroup","Syntheticanticholinergics,esterswithtertiaryaminogroup"
"A03AA01, Oxyphencyclimine",Oxyphencyclimine
"A03AA03, Camylofin",Camylofin
"A03AA04, Mebeverine",Mebeverine
"A03AA05, Trimebutine",Trimebutine
"A03AA06, Rociverine",Rociverine
"A03AA07, Dicycloverine",Dicycloverine
"A03AA08, Dihexyverine",Dihexyverine
"A03AA09, Difemerine",Difemerine
"A03AA30, Piperidolate",Piperidolate
"A03AB, Syntheticanticholinergics,quaternaryammoniumcompounds","Syntheticanticholinergics,quaternaryammoniumcompounds"
"A03AB01, Benzilone",Benzilone
"A03AB02, Glycopyrronium",Glycopyrronium
"A03AB03, Oxyphenonium",Oxyphenonium
"A03AB04, Penthienate",Penthienate
"A03AB05, Propantheline",Propantheline
"A03AB06, Otiloniumbromide",Otiloniumbromide
"A03AB07, Methantheline",Methantheline
"A03AB08, Tridihexethyl",Tridihexethyl
"A03AB09, Isopropamide",Isopropamide
"A03AB10, Hexocyclium",Hexocyclium
"A03AB11, Poldine",Poldine
"A03AB12, Mepenzolate",Mepenzolate
"A03AB13, Bevonium",Bevonium
"A03AB14, Pipenzolate",Pipenzolate
"A03AB15, Diphemanil",Diphemanil
"A03AB17, Tiemoniumiodide",Tiemoniumiodide
"A03AB18, Prifiniumbromide",Prifiniumbromide
"A03AB19, Timepidiumbromide",Timepidiumbromide
"A03AB21, Fenpiverinium",Fenpiverinium
"A03AB53, Oxyphenonium,combinations","Oxyphenonium,combinations"
"A03AC, Syntheticantispasmodics,amideswithtertiaryamines","Syntheticantispasmodics,amideswithtertiaryamines"
"A03AC02, Dimethylaminopropionylphenothiazine",Dimethylaminopropionylphenothiazine
"A03AC04, Nicofetamide",Nicofetamide
"A03AC05, Tiropramide",Tiropramide
"A03AD, Papaverineandderivatives",Papaverineandderivatives
"A03AD01, Papaverine",Papaverine
"A03AD02, Drotaverine",Drotaverine
"A03AD30, Moxaverine",Moxaverine
"A03AE, Serotoninreceptorantagonists",Serotoninreceptorantagonists
"A03AE01, Alosetron",Alosetron
"A03AE03, Cilansetron",Cilansetron
"A03AX, Otherdrugsforfunctionalgastrointestinaldisorders",Otherdrugsforfunctionalgastrointestinaldisorders
"A03AX01, Fenpiprane",Fenpiprane
"A03AX02, Diisopromine",Diisopromine
"A03AX03, Chlorbenzoxamine",Chlorbenzoxamine
"A03AX04, Pinaverium",Pinaverium
"A03AX05, Fenoverine",Fenoverine
"A03AX06, Idanpramine",Idanpramine
"A03AX07, Proxazole",Proxazole
"A03AX08, Alverine",Alverine
"A03AX09, Trepibutone",Trepibutone
"A03AX10, Isometheptene",Isometheptene
"A03AX11, Caroverine",Caroverine
"A03AX12, Phloroglucinol",Phloroglucinol
"A03AX13, Silicones",Silicones
"A03AX14, Valethamate",Valethamate
"A03AX30, Trimethyldiphenylpropylamine",Trimethyldiphenylpropylamine
"A03AX58, Alverine,combinations","Alverine,combinations"
"A03B, Belladonna and derivatives, plain","Belladonna and derivatives, plain"
"A03C, Antispasmodics in combination with psycholeptics",Antispasmodics in combination with psycholeptics
"A03D, Antispasmodics in combination with analgesics",Antispasmodics in combination with analgesics
"A03E, Antispasmodics and anticholinergics in combination with other drugs",Antispasmodics and anticholinergics in combination with other drugs
"A03F, Propulsives",Propulsives
"A04A, Antiemetics and antinauseants",Antiemetics and antinauseants
"A04AA, Serotonin",Serotonin
"A04AA01, Ondansetron",Ondansetron
"A04AA02, Granisetron",Granisetron
"A04AA03, Tropisetron",Tropisetron
"A04AA04, Dolasetron",Dolasetron
"A04AA05, Palonosetron",Palonosetron
"A04AA55, Palonosetron,combinations","Palonosetron,combinations"
"A04AD, Other antiemetics",Other antiemetics
"A04AD01, Scopolamine",Scopolamine
"A04AD02, Ceriumoxalate",Ceriumoxalate
"A04AD04, Chlorobutanol",Chlorobutanol
"A04AD05, Metopimazine",Metopimazine
"A04AD10, Dronabinol",Dronabinol
"A04AD11, Nabilone",Nabilone
"A04AD12, Aprepitant",Aprepitant
"A04AD13, Casopitant",Casopitant
"A04AD51, Scopolamine,combinations","Scopolamine,combinations"
"A04AD54, Chlorobutanol,combinations","Chlorobutanol,combinations"
"A05, Bile and liver therapy",Bile and liver therapy
"A05A, Bile therapy",Bile therapy
