label,text
"80000, Neoplasm, benign","Neoplasm, benign"
"80001, Neoplasm, uncertain whether benign or malignant","Neoplasm, uncertain whether benign or malignant"
"80003, Neoplasm, malignant","Neoplasm, malignant"
"80006, Neoplasm, metastatic","Neoplasm, metastatic"
"80009, Neoplasm, malignant, uncertain whether primary or metastatic","Neoplasm, malignant, uncertain whether primary or metastatic"
"80011, Tumor cells, uncertain whether benign or malignant","Tumor cells, uncertain whether benign or malignant"
"80013, Tumor cells, malignant","Tumor cells, malignant"
"80023, Malignant tumor, small cell type","Malignant tumor, small cell type"
"80033, Malignant tumor, giant cell type","Malignant tumor, giant cell type"
"80043, Malignant tumor, spindle cell type","Malignant tumor, spindle cell type"
"80053, Malignant tumor, clear cell type","Malignant tumor, clear cell type"
"80102, Carcinoma in situ, NOS","Carcinoma in situ, NOS"
"80103, Carcinoma, NOS","Carcinoma, NOS"
"80106, Carcinoma, metastatic, NOS","Carcinoma, metastatic, NOS"
"80109, Carcinomatosis",Carcinomatosis
"80113, Epithelioma, malignant","Epithelioma, malignant"
"80123, Large cell carcinoma, NOS","Large cell carcinoma, NOS"
"80133, Large cell neuroendocrine carcinoma",Large cell neuroendocrine carcinoma
"80143, Large cell carcinoma with rhabdoid phenotype",Large cell carcinoma with rhabdoid phenotype
"80153, Glassy cell carcinoma",Glassy cell carcinoma
"80203, Carcinoma, undifferentiated, NOS","Carcinoma, undifferentiated, NOS"
"80213, Carcinoma, anaplastic, NOS","Carcinoma, anaplastic, NOS"
"80223, Pleomorphic carcinoma",Pleomorphic carcinoma
"80233, Nuclear protein in testis",Nuclear protein in testis
"80303, Giant cell and spindle cell carcinoma",Giant cell and spindle cell carcinoma
"80313, Giant cell carcinoma",Giant cell carcinoma
"80323, Spindle cell carcinoma, NOS","Spindle cell carcinoma, NOS"
"80333, Pseudosarcomatous carcinoma",Pseudosarcomatous carcinoma
"80343, Polygonal cell carcinoma",Polygonal cell carcinoma
"80353, Carcinoma with osteoclast-like giant cells",Carcinoma with osteoclast-like giant cells
"80401, Tumorlet, NOS","Tumorlet, NOS"
"80413, Small cell carcinoma, NOS","Small cell carcinoma, NOS"
"80423, Oat cell carcinoma",Oat cell carcinoma
"80433, Small cell carcinoma, fusiform cell","Small cell carcinoma, fusiform cell"
"80443, Small cell carcinoma, intermediate cell","Small cell carcinoma, intermediate cell"
"80453, Combined small cell carcinoma",Combined small cell carcinoma
"80463, Non-small cell carcinoma",Non-small cell carcinoma
"80502, Papillary carcinoma in situ, NOS","Papillary carcinoma in situ, NOS"
"80503, Papillary carcinoma, NOS","Papillary carcinoma, NOS"
"80513, Verrucous carcinoma, NOS","Verrucous carcinoma, NOS"
"80522, Papillary squamous cell carcinoma, non-invasive","Papillary squamous cell carcinoma, non-invasive"
"80523, Papillary squamous cell carcinoma",Papillary squamous cell carcinoma
"80543, Warty carcinoma",Warty carcinoma
"80702, Squamous cell carcinoma in situ, NOS","Squamous cell carcinoma in situ, NOS"
"80703, Squamous cell carcinoma, NOS","Squamous cell carcinoma, NOS"
"80706, Squamous cell carcinoma, metastatic, NOS","Squamous cell carcinoma, metastatic, NOS"
"80712, Differentiated intraepithelial neoplasia",Differentiated intraepithelial neoplasia
"80713, Squamous cell carcinoma, keratinizing, NOS","Squamous cell carcinoma, keratinizing, NOS"
"80723, Squamous cell carcinoma, large cell, nonkeratinizing, NOS","Squamous cell carcinoma, large cell, nonkeratinizing, NOS"
"80733, Squamous cell carcinoma, small cell, nonkeratinizing","Squamous cell carcinoma, small cell, nonkeratinizing"
"80743, Squamous cell carcinoma, spindle cell","Squamous cell carcinoma, spindle cell"
"80753, Squamous cell carcinoma, adenoid","Squamous cell carcinoma, adenoid"
"80762, Squamous cell carcinoma in situ with questionable stromal invasion",Squamous cell carcinoma in situ with questionable stromal invasion
"80763, Squamous cell carcinoma, microinvasive","Squamous cell carcinoma, microinvasive"
"80772, Squamous intraepithelial neoplasia, high grade","Squamous intraepithelial neoplasia, high grade"
"80783, Squamous cell carcinoma with horn formation",Squamous cell carcinoma with horn formation
"80802, Queyrat erythroplasia",Queyrat erythroplasia
"80812, Bowen disease",Bowen disease
