label,text
"Total body irradiation","Total body irradiation"
"Brachytherapy","Brachytherapy"
"Proton therapy","Proton therapy"
"Sterotactic radiation therapy","Sterotactic radiation therapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiotherapy without stereotaxy (conventional radiotherapy)"
"Brachytherapy","Curietherapy"
"Brachytherapy","brachytherapy"
"Sterotactic radiation therapy","Gamma Knife"
"Sterotactic radiation therapy","Gamma knife radiosurgery"
"Sterotactic radiation therapy","Radiosurgery"
"Sterotactic radiation therapy","Radiochirurgie"
"Sterotactic radiation therapy","Stereotactic radiosurgery"
"Sterotactic radiation therapy","Stereotactic Radiotherapy"
"Sterotactic radiation therapy","Stereotactic radiotherapy"
"Sterotactic radiation therapy","Stereotactic body radiotherapy"
"Sterotactic radiation therapy","Stereotactic body radiation therapy"
"Sterotactic radiation therapy","Stereotactic body radiation therapy (SBRT)"
"Sterotactic radiation therapy","SABR"
"Sterotactic radiation therapy","Irradiation stéréotaxique"
"Sterotactic radiation therapy","Radiothérapie stéréotaxique"
"Sterotactic radiation therapy","Radiothérapie stérérotaxique"
"Sterotactic radiation therapy","stéréotaxie"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiotherapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiothérapie"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiation therapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","External Beam Radiation Therapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","External beam radiation therapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiothérapie externe"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Conformal radiotherapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Hypofractionated radiotherapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","IMRT"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Intensity-modulated radiation therapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Intensity-modulated radiation therapy (IMRT)"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Intensity-modulated radiotherapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiotherapy with intensity modulation"
"Radiotherapy without stereotaxy (conventional radiotherapy)","VMAT"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Volumetric Modulated Arc Therapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Volumetric Modulated Arc Therapy (VMAT)"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Volumetric modulated arc therapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiotherapy with conformal planning"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiotherapy with conformal and intensity modulation"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiotherapy with concurrent chemotherapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radio-chimiothérapie"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Pelvic radiotherapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiothérapie pelvienne"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Postoperative radiotherapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiothérapie post-opératoire"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiotherapy for palliation"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Radiothérapie antalgique"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Whole brain irradiation"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Whole brain radiation therapy"
"Radiotherapy without stereotaxy (conventional radiotherapy)","Whole brain radiotherapy"
