label,text
"A00, Cholera",Cholera
"A01, Typhoid and paratyphoid fevers",Typhoid and paratyphoid fevers
"A02, Other salmonella infections",Other salmonella infections
"A03, Shigellosis",Shigellosis
"A04, Other bacterial intestinal infections",Other bacterial intestinal infections
"A05, Other bacterial foodborne intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified"
"A06, Amoebiasis",Amoebiasis
"A07, Other protozoal intestinal diseases",Other protozoal intestinal diseases
"A08, Viral and other specified intestinal infections",Viral and other specified intestinal infections
"A09, Other gastroenteritis and colitis of infectious and unspecified origin",Other gastroenteritis and colitis of infectious and unspecified origin
"A15, Respiratory tuberculosis, bacteriologically and histologically confirmed","Respiratory tuberculosis, bacteriologically and histologically confirmed"
"A16, Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically"
"A17, Tuberculosis of nervous system",Tuberculosis of nervous system
"A18, Tuberculosis of other organs",Tuberculosis of other organs
"A19, Miliary tuberculosis",Miliary tuberculosis
"A20, Plague",Plague
"A21, Tularaemia",Tularaemia
"A22, Anthrax",Anthrax
"A23, Brucellosis",Brucellosis
"A24, Glanders and melioidosis",Glanders and melioidosis
"A25, Rat-bite fevers",Rat-bite fevers
"A26, Erysipeloid",Erysipeloid
"A27, Leptospirosis",Leptospirosis
"A28, Other zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified"
"A30, Leprosy [Hansen disease]",Leprosy [Hansen disease]
"A31, Infection due to other mycobacteria",Infection due to other mycobacteria
"A32, Listeriosis",Listeriosis
"A36, Diphtheria",Diphtheria
"A37, Whooping cough",Whooping cough
"A39, Meningococcal infection",Meningococcal infection
"A40, Streptococcal sepsis",Streptococcal sepsis
"A41, Other sepsis",Other sepsis
"A42, Actinomycosis",Actinomycosis
"A43, Nocardiosis",Nocardiosis
"A44, Bartonellosis",Bartonellosis
"A48, Other bacterial diseases, not elsewhere classified","Other bacterial diseases, not elsewhere classified"
"A49, Bacterial infection of unspecified site",Bacterial infection of unspecified site
"A50, Congenital syphilis",Congenital syphilis
"A51, Early syphilis",Early syphilis
"A52, Late syphilis",Late syphilis
"A53, Other and unspecified syphilis",Other and unspecified syphilis
"A54, Gonococcal infection",Gonococcal infection
"A56, Other sexually transmitted chlamydial diseases",Other sexually transmitted chlamydial diseases
"A59, Trichomoniasis",Trichomoniasis
"A60, Anogenital herpesviral [herpes simplex] infection",Anogenital herpesviral [herpes simplex] infection
"A63, Other predominantly sexually transmitted diseases, not elsewhere classified","Other predominantly sexually transmitted diseases, not elsewhere classified"
"A66, Yaws",Yaws
"A67, Pinta [carate]",Pinta [carate]
"A68, Relapsing fevers",Relapsing fevers
"A69, Other spirochaetal infections",Other spirochaetal infections
"A71, Trachoma",Trachoma
"A74, Other diseases caused by chlamydiae",Other diseases caused by chlamydiae
"A75, Typhus fever",Typhus fever
"A77, Spotted fever [tick-borne rickettsioses]",Spotted fever [tick-borne rickettsioses]
"A79, Other rickettsioses",Other rickettsioses
"A80, Acute poliomyelitis",Acute poliomyelitis
"A81, Atypical virus infections of central nervous system",Atypical virus infections of central nervous system
"A82, Rabies",Rabies
"A83, Mosquito-borne viral encephalitis",Mosquito-borne viral encephalitis
"A84, Tick-borne viral encephalitis",Tick-borne viral encephalitis
"A85, Other viral encephalitis, not elsewhere classified","Other viral encephalitis, not elsewhere classified"
"A87, Viral meningitis",Viral meningitis
"A88, Other viral infections of central nervous system, not elsewhere classified","Other viral infections of central nervous system, not elsewhere classified"
"A92, Other mosquito-borne viral fevers",Other mosquito-borne viral fevers
"A93, Other arthropod-borne viral fevers, not elsewhere classified","Other arthropod-borne viral fevers, not elsewhere classified"
"A95, Yellow fever",Yellow fever
"A96, Arenaviral haemorrhagic fever",Arenaviral haemorrhagic fever
"A97, Dengue",Dengue
"A98, Other viral haemorrhagic fevers, not elsewhere classified","Other viral haemorrhagic fevers, not elsewhere classified"
"B00, Herpesviral [herpes simplex] infections",Herpesviral [herpes simplex] infections
"B01, Varicella [chickenpox]",Varicella [chickenpox]
"B02, Zoster [herpes zoster]",Zoster [herpes zoster]
"B05, Measles",Measles
"B06, Rubella [German measles]",Rubella [German measles]
"B08, Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified","Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
"B15, Acute hepatitis A",Acute hepatitis A
"B16, Acute hepatitis B",Acute hepatitis B
"B17, Other acute viral hepatitis",Other acute viral hepatitis
"B18, Chronic viral hepatitis",Chronic viral hepatitis
"B180, Chronic viral hepatitis B with delta-agent",Chronic viral hepatitis B with delta-agent
"B181, Chronic viral hepatitis B without delta-agent",Chronic viral hepatitis B without delta-agent
"B19, Unspecified viral hepatitis",Unspecified viral hepatitis
"B20, Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases",Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
"B22, Human immunodeficiency virus [HIV] disease resulting in other specified diseases",Human immunodeficiency virus [HIV] disease resulting in other specified diseases
"B23, Human immunodeficiency virus [HIV] disease resulting in other conditions",Human immunodeficiency virus [HIV] disease resulting in other conditions
"B25, Cytomegaloviral disease",Cytomegaloviral disease
"B26, Mumps",Mumps
"B27, Infectious mononucleosis",Infectious mononucleosis
"B30, Viral conjunctivitis",Viral conjunctivitis
"B33, Other viral diseases, not elsewhere classified","Other viral diseases, not elsewhere classified"
"B34, Viral infection of unspecified site",Viral infection of unspecified site
"B35, Dermatophytosis",Dermatophytosis
"B36, Other superficial mycoses",Other superficial mycoses
"B37, Candidiasis",Candidiasis
"B38, Coccidioidomycosis",Coccidioidomycosis
"B39, Histoplasmosis",Histoplasmosis
"B40, Blastomycosis",Blastomycosis
"B41, Paracoccidioidomycosis",Paracoccidioidomycosis
"B42, Sporotrichosis",Sporotrichosis
"B43, Chromomycosis and phaeomycotic abscess",Chromomycosis and phaeomycotic abscess
"B44, Aspergillosis",Aspergillosis
"B45, Cryptococcosis",Cryptococcosis
"B46, Zygomycosis",Zygomycosis
"B47, Mycetoma",Mycetoma
"B48, Other mycoses, not elsewhere classified","Other mycoses, not elsewhere classified"
"B50, Plasmodium falciparum malaria",Plasmodium falciparum malaria
"B51, Plasmodium vivax malaria",Plasmodium vivax malaria
